Strategy,Avg. Baseline %HITS@N,Avg. Reform %HITS@N,% Imp. %HITS@N,Avg. Baseline MAP,Avg. Reform MAP,% Imp. MAP,Avg. Baseline MRR,Avg. Reform MRR,% Imp. MRR
BLIZZARD--TITLE*OB*OTHER*CODE*T_EB,0.2279305897,0.265322486,0.1640494871,0.058586386,0.0849361803,0.4497596803,0.0744906485,0.1082459881,0.4531486872
BLIZZARD--TITLE*OB*OTHER*S2R*CODE,0.2279305897,0.265249468,0.1637291348,0.058586386,0.0856222719,0.4614704478,0.0744906485,0.1089532588,0.4626434466
OB*T_TITLE,0.2279305897,0.2652221603,0.1636093279,0.058586386,0.0861904281,0.4711682003,0.0744906485,0.108356605,0.4546336653
BLIZZARD--TITLE*OB*OTHER*CODE,0.2279305897,0.2651605502,0.1633390258,0.058586386,0.0845202398,0.4426600699,0.0744906485,0.1078065502,0.4472494522
BLIZZARD--TITLE*OB*OTHER*S2R*T_EB,0.2279305897,0.26515863,0.1633306016,0.058586386,0.0857523274,0.463690342,0.0744906485,0.1086017203,0.4579242156
TITLE*T_OTHER,0.2279305897,0.2650984879,0.16306674,0.058586386,0.0893129938,0.5244666861,0.0744906485,0.1136835003,0.5261445915
TITLE*T_OB*T_S2R*T_EB,0.2279305897,0.265005256,0.1626577034,0.058586386,0.0881608213,0.5048004712,0.0744906485,0.1136766035,0.5260520057
BLIZZARD--OB*T_TITLE*T_S2R,0.2279305897,0.2648812458,0.1621136334,0.058586386,0.0942414524,0.6085896195,0.0744906485,0.1202401074,0.6141637885
BLIZZARD--OB*T_TITLE,0.2279305897,0.2648481003,0.1619682144,0.058586386,0.0931670085,0.5902501377,0.0744906485,0.1190034903,0.5975628182
BLIZZARD--OB*T_TITLE*T_EB,0.2279305897,0.2648273074,0.1618769895,0.058586386,0.0942700207,0.6090772451,0.0744906485,0.1202236099,0.6139423186
